Fecha,Tarde/Noche,Centena,Fijo,1er Corrido,2do Corrido
28/05/2009,N,8,99,3,58
29/05/2009,T,0,74,62,49
29/05/2009,N,5,70,96,29
30/05/2009,T,9,97,99,88
30/05/2009,N,1,66,65,26
31/05/2009,T,4,65,97,31
31/05/2009,N,0,11,1,93
01/06/2009,T,1,5,24,40
01/06/2009,N,1,84,12,35
02/06/2009,T,8,80,54,87
02/06/2009,N,4,27,12,64
03/06/2009,T,5,49,85,83
03/06/2009,N,2,87,76,51
04/06/2009,T,5,21,61,6
04/06/2009,N,8,46,48,93
05/06/2009,T,4,62,28,19
05/06/2009,N,9,61,7,89
06/06/2009,T,4,5,91,85
06/06/2009,N,7,43,43,56
07/06/2009,T,1,54,1,69
07/06/2009,N,6,21,21,27
08/06/2009,T,6,30,57,9
08/06/2009,N,5,13,90,99
09/06/2009,T,6,92,25,73
09/06/2009,N,3,16,47,62
10/06/2009,T,5,92,56,64
10/06/2009,N,1,51,12,76
11/06/2009,T,6,6,73,91
11/06/2009,N,4,55,40,34
12/06/2009,T,1,25,18,22
12/06/2009,N,0,85,82,99
13/06/2009,T,4,96,67,56
13/06/2009,N,1,35,59,74
14/06/2009,T,4,66,30,68
14/06/2009,N,4,29,19,30
15/06/2009,T,9,37,28,85
15/06/2009,N,8,48,45,23
16/06/2009,T,8,90,38,1
16/06/2009,N,1,9,54,18
17/06/2009,T,9,52,5,29
17/06/2009,N,6,1,49,94
18/06/2009,T,0,47,42,74
18/06/2009,N,7,73,73,74
19/06/2009,T,0,27,2,87
19/06/2009,N,2,88,28,59
20/06/2009,T,5,6,18,18
20/06/2009,N,3,79,9,55
21/06/2009,T,7,34,79,64
21/06/2009,N,8,79,61,48
22/06/2009,T,7,38,96,94
22/06/2009,N,7,37,16,98
23/06/2009,T,4,43,56,69
23/06/2009,N,2,91,23,8
24/06/2009,T,9,75,5,66
24/06/2009,N,2,19,53,31
25/06/2009,T,8,0,8,8
25/06/2009,N,4,5,33,98
26/06/2009,T,1,55,88,94
26/06/2009,N,7,61,92,52
